Initialized in 0.000016 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000697 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000752 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000707 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000657 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000659 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000695 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000744 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000655 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000655 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000707 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000044 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000718 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000661 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000687 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000751 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000672 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000659 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000659 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000699 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000731 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000656 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000665 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000697 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000729 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000657 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000665 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000699 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000668 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000657 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000703 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000731 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000661 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000661 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000704 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000662 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000710 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000744 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000657 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000742 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000654 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000657 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000755 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000708 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000656 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000658 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000704 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000715 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000659 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000657 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000780 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000659 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000669 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000034 s
Problem solved in 0.075250 s, 0.000752 per timestep with 1000 particles
Output written in 0.003443 s
Program finished in 0.079152 s. Exiting...
26	0.079153
Initialized in 0.000019 s
Input read in 0.000335 s
Threads setup in 0.000073 s
Acceleration calculated in 0.002739 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001945 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001584 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000675 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000740 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000647 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000677 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000647 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000679 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000745 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000703 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000647 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000682 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000755 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000651 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000708 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000707 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000649 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000705 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000670 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000717 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000054 s
Acceleration calculated in 0.000710 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000700 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000675 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000735 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000730 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000715 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000690 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000716 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000731 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000709 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000670 s
Solution calculated in 0.000055 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000731 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000689 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000731 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000717 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000708 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000706 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000716 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000733 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000711 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000744 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000718 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000710 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000060 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000720 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000729 s
Solution calculated in 0.000043 s
Acceleration calculated in 0.000748 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000718 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000745 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Problem solved in 0.079253 s, 0.000793 per timestep with 1000 particles
Output written in 0.003600 s
Program finished in 0.083330 s. Exiting...
27	0.083332
Initialized in 0.000016 s
Input read in 0.000364 s
Threads setup in 0.000081 s
Acceleration calculated in 0.002679 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.002404 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.001901 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002021 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.001877 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001853 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.001622 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000649 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000685 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000732 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000655 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000653 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000650 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000649 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000752 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000716 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000654 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000648 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000715 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000730 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000719 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000652 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000647 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000649 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000652 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000730 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000724 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000651 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000650 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000779 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000729 s
Solution calculated in 0.000055 s
Acceleration calculated in 0.000702 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000652 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000675 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000728 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000723 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000743 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000714 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000646 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000681 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000736 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000725 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000705 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000659 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000679 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000701 s
Solution calculated in 0.000046 s
Acceleration calculated in 0.000652 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000696 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000715 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000717 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000655 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000711 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000726 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000734 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000695 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000662 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000716 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000722 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000746 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000721 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000698 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000681 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000710 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000712 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.000745 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000713 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000697 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000672 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000715 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000730 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000727 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.000711 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000679 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000692 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000709 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000738 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.000715 s
Solution calculated in 0.000034 s
Problem solved in 0.083473 s, 0.000835 per timestep with 1000 particles
Output written in 0.003064 s
Program finished in 0.087041 s. Exiting...
28	0.087042
Initialized in 0.000016 s
Input read in 0.000254 s
Threads setup in 0.000082 s
Acceleration calculated in 0.003998 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.001764 s
Solution calculated in 0.000053 s
Acceleration calculated in 0.002693 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.003375 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002695 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.002512 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002584 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002552 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002497 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002681 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002465 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002642 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002540 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002546 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002613 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002498 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002661 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001623 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002380 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.003089 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002518 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002621 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002464 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002716 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002510 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002546 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.001672 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002720 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002600 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002484 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.003503 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002689 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002494 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.001760 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002528 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002408 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002254 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002381 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002134 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002382 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002161 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002469 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002196 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002330 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002185 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002318 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002242 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002264 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002236 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002275 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002235 s
Solution calculated in 0.000040 s
Acceleration calculated in 0.002255 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002379 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002202 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002372 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002173 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002359 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002254 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002366 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002146 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002382 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002136 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002405 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002201 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002305 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002228 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002270 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002352 s
Solution calculated in 0.000040 s
Acceleration calculated in 0.002243 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002285 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002234 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002306 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002310 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002367 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002155 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002382 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002148 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002379 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002163 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002342 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002173 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002343 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002316 s
Solution calculated in 0.000049 s
Acceleration calculated in 0.002281 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002234 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002274 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002262 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002357 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.002320 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.002231 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002328 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002198 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002483 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002141 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002364 s
Solution calculated in 0.000048 s
Acceleration calculated in 0.002154 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002349 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002274 s
Solution calculated in 0.000038 s
Acceleration calculated in 0.002313 s
Solution calculated in 0.000037 s
Acceleration calculated in 0.002195 s
Solution calculated in 0.000038 s
Problem solved in 0.242624 s, 0.002426 per timestep with 1000 particles
Output written in 0.008958 s
Program finished in 0.251982 s. Exiting...
29	0.251983
Initialized in 0.000016 s
Input read in 0.000252 s
Threads setup in 0.000088 s
Acceleration calculated in 0.003241 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002580 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.002229 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002378 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002135 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002393 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002236 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002347 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002212 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002362 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002276 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002309 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002255 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.002277 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002254 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.002737 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002384 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002241 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002376 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002287 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002535 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002139 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.002419 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.002123 s
Solution calculated in 0.000032 s
